,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
89,89,0.1,920,2.25,1,100000.0,0.01715,0.00243,5.72,772131000000.0,480.09,0.48009,37069237179.0,0.023147799108921847,0.010745716515448004,0.002867072527591539
90,90,0.1,930,2.25,1,100000.0,0.01715,0.00243,5.72,773571000000.0,484.34,0.4843400000000001,37467137814.0,0.02376192388667846,0.010969491174085796,0.0028512873013706226
91,91,0.1,940,2.25,1,100000.0,0.01715,0.00243,5.72,774988000000.0,486.81000000000006,0.48681,37727190828.0,0.0240664544328888,0.010939532529894687,0.002842493238924869
92,92,0.1,950,2.25,1,100000.0,0.01715,0.00243,5.72,776382000000.0,488.08,0.48808000000000007,37893652656.0,0.023978868424020448,0.010356731045245097,0.0028390721269640927
93,93,0.1,960,2.25,1,100000.0,0.01715,0.00243,5.72,777752000000.0,487.76,0.4877599999999999,37935631552.0,0.02422284912489772,0.01063866316714602,0.0028770790862571644
94,94,0.1,970,2.25,1,100000.0,0.01715,0.00243,5.72,779099000000.0,489.22,0.48922,38115081278.0,0.025991299235145104,0.010938922448051353,0.002883263263577335
95,95,0.1,980,2.25,1,100000.0,0.01715,0.00243,5.72,780425000000.0,490.84,0.49084000000000005,38306380700.0,0.02571464120508153,0.010976450554069414,0.002839663706677239
96,96,0.1,990,2.25,1,100000.0,0.01715,0.00243,5.72,781728000000.0,497.51,0.49751,38891749728.0,0.025477154699414084,0.010863037148294282,0.002871888395846895
97,97,0.1,1000,2.25,1,100000.0,0.01715,0.00243,5.72,783010000000.0,497.01,0.49701000000000006,38916380010.0,0.025811695542513464,0.010728315760451183,0.002852099333405764
98,98,0.1,1010,2.25,1,100000.0,0.01715,0.00243,5.72,784271000000.0,496.27,0.49627,38921016917.0,0.027001047905686165,0.010467737068764856,0.002862042725847035
99,99,0.1,1020,2.25,1,100000.0,0.01715,0.00243,5.72,785511000000.0,503.43,0.50343,39544980273.0,0.02743566560116165,0.01128099880329245,0.0028414274028153424
100,100,0.1,1030,2.25,1,100000.0,0.01715,0.00243,5.72,786730000000.0,507.56000000000006,0.50756,39931267880.0,0.027480613490963608,0.010711049146968892,0.0028583987135957305
101,101,0.1,1040,2.25,1,100000.0,0.01715,0.00243,5.72,787930000000.0,509.36,0.5093599999999999,40134002480.0,0.02791369453642801,0.010731509275246034,0.002826478943086532
102,102,0.1,1050,2.25,1,100000.0,0.01715,0.00243,5.72,789109000000.0,509.69,0.50969,40220096621.0,0.0289836016427148,0.010398984761534403,0.002853591229321371
103,103,0.1,1060,2.25,1,100000.0,0.01715,0.00243,5.72,790270000000.0,514.44,0.5144399999999999,40654649880.0,0.028493218139888088,0.01086724913798372,0.002844216321609342
104,104,0.1,1070,2.25,1,100000.0,0.01715,0.00243,5.72,791411000000.0,511.25,0.51125,40460887375.0,0.028750546188121007,0.010372309278818872,0.0028381976712797954
105,105,0.1,1080,2.25,1,100000.0,0.01715,0.00243,5.72,792533000000.0,515.74,0.5157400000000001,40874096942.0,0.030023563817169363,0.01053521143804359,0.0028716584467147217
106,106,0.1,1090,2.25,1,100000.0,0.01715,0.00243,5.72,793638000000.0,517.94,0.5179400000000001,41105686572.0,0.029769213757735995,0.010617414711020838,0.0028507438825593626
107,107,0.1,1100,2.25,1,100000.0,0.01715,0.00243,5.72,794723000000.0,517.98,0.5179800000000001,41165061954.0,0.031044795087077543,0.010852993433782147,0.0028174572092292643
108,108,0.1,1110,2.25,1,100000.0,0.01715,0.00243,5.72,795791000000.0,520.6,0.5206000000000001,41428879460.0,0.03160081151898339,0.010790057034095246,0.00286190032783674
109,109,0.1,1120,2.25,1,100000.0,0.01715,0.00243,5.72,796842000000.0,523.26,0.52326,41695554492.0,0.031604830819162544,0.010987789586768331,0.0028447542251023835
110,110,0.1,1130,2.25,1,100000.0,0.01715,0.00243,5.72,797875000000.0,522.58,0.52258,41695351750.0,0.03179164672973684,0.010797135301074196,0.002829017979907981
111,111,0.1,1140,2.25,1,100000.0,0.01715,0.00243,5.72,798891000000.0,523.35,0.52335,41809960485.0,0.03203009376678893,0.01065282759440096,0.00285270741599494
112,112,0.1,1150,2.25,1,100000.0,0.01715,0.00243,5.72,799890000000.0,533.74,0.53374,42693328860.0,0.03364329021575941,0.010397087346282963,0.0028355005799219784
113,113,0.1,1160,2.25,1,100000.0,0.01715,0.00243,5.72,800873000000.0,524.22,0.5242200000000001,41983364406.0,0.03256946081990918,0.010610486764969815,0.0028477410701496435
114,114,0.1,1170,2.25,1,100000.0,0.01715,0.00243,5.72,801839000000.0,530.86,0.53086,42566425154.0,0.03232423548069619,0.010573848988292696,0.002816173148752931
115,115,0.1,1180,2.25,1,100000.0,0.01715,0.00243,5.72,802789000000.0,537.28,0.53728,43132247392.0,0.03410915762675586,0.011250488932264347,0.002860316730018774
116,116,0.1,1190,2.25,1,100000.0,0.01715,0.00243,5.72,803724000000.0,536.21,0.53621,43096484604.0,0.033976311285960036,0.011002992654400398,0.00283041865216402
117,117,0.1,1200,2.25,1,100000.0,0.01715,0.00243,5.72,804643000000.0,540.38,0.54038,43481298434.0,0.03442373569044548,0.010539877037766794,0.002841575273102837
118,118,0.1,1210,2.25,1,100000.0,0.01715,0.00243,5.72,805546000000.0,539.92,0.5399200000000001,43493039632.0,0.03540245711781836,0.0106224146859626,0.0028700628489513485
119,119,0.1,1220,2.25,1,100000.0,0.01715,0.00243,5.72,806435000000.0,543.28,0.54328,43812000680.0,0.034940042331149924,0.010984292733295044,0.002871812200295427
120,120,0.1,1230,2.25,1,100000.0,0.01715,0.00243,5.72,807309000000.0,543.9,0.5439,43909536510.0,0.03520931616365487,0.011025331215680084,0.002858205870752712
121,121,0.1,1240,2.25,1,100000.0,0.01715,0.00243,5.72,808168000000.0,547.1600000000001,0.5471600000000001,44219720288.0,0.035618831358224266,0.01064340571289386,0.0028489609985228406
122,122,0.1,1250,2.25,1,100000.0,0.01715,0.00243,5.72,809012000000.0,549.48,0.54948,44453591376.0,0.03699734416126148,0.010904976775684867,0.0028384146209846648
