,Simulation Number,Dipole.bendingRadius,Dipole.photonEnergy,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
99,99,13.895833333333334,9901.0,1000,199877000000.0,1000.0,100.0,9901.0,0.0,0.1235951523161237,0.0642963154330107,199877000000.0,,,,2.514614578978547e-05,2.4613131317422604e-06
100,100,6.413461538461538,1.0,1000,748532000000.0,1000.0,100.0,1.0,0.0,0.1397477561702317,0.084848605140073,748532000000.0,,,,,
101,101,6.413461538461538,101.0,1000,3271150000000.0,1000.0,100.0,101.0,0.0,0.1212732545397869,0.08031945361498,3271150000000.0,,,,1.3634683488158696e-05,6.649339741287295e-06
102,102,6.413461538461538,201.0,1000,3950560000000.0,1000.0,100.0,201.0,0.0,0.1134639539578109,0.0831272517459015,3950560000000.0,,,,3.300165957816983e-05,1.954444642884529e-05
103,103,6.413461538461538,301.0,1000,4363230000000.0,1000.0,100.0,301.0,0.0,0.1274928476394993,0.0971351100475116,4363230000000.0,,,,5.598838275767857e-05,3.049429179465137e-05
104,104,6.413461538461538,401.0,1000,4648360000000.0,1000.0,100.0,401.0,0.0,0.0959154491930562,0.0868037870706489,4648360000000.0,,,,8.03952282088314e-05,4.326796789407988e-05
105,105,6.413461538461538,501.0,1000,4856500000000.0,1000.0,100.0,501.0,0.0,0.1448983439782882,0.083219290221045,4856500000000.0,,,,0.0001055730191329,5.906269754961255e-05
106,106,6.413461538461538,601.0,1000,5012510000000.0,1000.0,100.0,601.0,0.0,0.120952601726141,0.085024156867892,5012510000000.0,,,,0.0001306848724394,7.458547299594628e-05
107,107,6.413461538461538,701.0,1000,5130650000000.0,1000.0,100.0,701.0,0.0,0.1505553928168596,0.0730097009114473,5130650000000.0,,,,0.0001565176219579,8.907359915222399e-05
108,108,6.413461538461538,801.0,1000,5219980000000.0,1000.0,100.0,801.0,0.0,0.1252397527097397,0.0830227088960555,5219980000000.0,,,,0.0001822808250783,0.0001021906669806
109,109,6.413461538461538,901.0,1000,5286650000000.0,1000.0,100.0,901.0,0.0,0.1450027244904023,0.0864841143031246,5286650000000.0,,,,0.0002078851858773,0.0001137871013663
110,110,6.413461538461538,1001.0,1000,5335050000000.0,1000.0,100.0,1001.0,0.0,0.1667460071460675,0.0761947099674933,5335050000000.0,,,,0.0002332862608853,0.0001228544426835
111,111,6.413461538461538,1101.0,1000,5368450000000.0,1000.0,100.0,1101.0,0.0,0.1148578236198754,0.0750679079030197,5368450000000.0,,,,0.0002583494884495,0.0001299773987088
112,112,6.413461538461538,1201.0,1000,5389330000000.0,1000.0,100.0,1201.0,0.0,0.1321019215806658,0.0784537181059029,5389330000000.0,,,,0.000282983152087,0.0001802106754159
113,113,6.413461538461538,1301.0,1000,5399650000000.0,1000.0,100.0,1301.0,0.0,0.127595171674962,0.0832007397129156,5399650000000.0,,,,0.0003071549589041,0.0001944996963446
114,114,6.413461538461538,1401.0,1000,5400960000000.0,1000.0,100.0,1401.0,0.0,0.1312211705663454,0.0647000065689349,5400960000000.0,,,,0.0003305776364876,0.0002160303636704
115,115,6.413461538461538,1501.0,1000,5394560000000.0,1000.0,100.0,1501.0,0.0,0.1254666442261554,0.0860700930650978,5394560000000.0,,,,0.0003528845783095,0.0002292299455242
116,116,6.413461538461538,1601.0,1000,5381480000000.0,1000.0,100.0,1601.0,0.0,0.1274022891789441,0.0723226197229855,5381480000000.0,,,,0.0003733146889234,0.0002430933935629
117,117,6.413461538461538,1701.0,1000,5362600000000.0,1000.0,100.0,1701.0,0.0,0.1280329188323304,0.0828073404058735,5362600000000.0,,,,0.0003911194131613,0.0002536262557517
118,118,6.413461538461538,1801.0,1000,5338670000000.0,1000.0,100.0,1801.0,0.0,0.1257908222166435,0.0652592921993591,5338670000000.0,,,,0.0004055176489526,0.0002630845727013
119,119,6.413461538461538,1901.0,1000,5310320000000.0,1000.0,100.0,1901.0,0.0,0.1248603510077879,0.0868122641872834,5310320000000.0,,,,0.0004289795046841,0.0002714759837471
120,120,6.413461538461538,2001.0,1000,5278100000000.0,1000.0,100.0,2001.0,0.0,0.1083803134550629,0.0643749401422215,5278100000000.0,,,,0.0004500873440782,0.000278411197847
121,121,6.413461538461538,2101.0,1000,5242480000000.0,1000.0,100.0,2101.0,0.0,0.1446357397773218,0.078246542385177,5242480000000.0,,,,0.0004705983990238,0.0002837693591794
122,122,6.413461538461538,2201.0,1000,5203860000000.0,1000.0,100.0,2201.0,0.0,0.1317853829270979,0.0874029179593006,5203860000000.0,,,,0.0004904022683364,0.0002943519557623
123,123,6.413461538461538,2301.0,1000,5162610000000.0,1000.0,100.0,2301.0,0.0,0.1456489910630461,0.0758311255323756,5162610000000.0,,,,0.0005095499925916,0.0002911920032624
124,124,6.413461538461538,2401.0,1000,5119050000000.0,1000.0,100.0,2401.0,0.0,0.1249546241872188,0.0902049954937912,5119050000000.0,,,,0.0005281617071815,0.0002889281598069
125,125,6.413461538461538,2501.0,1000,5073460000000.0,1000.0,100.0,2501.0,0.0,0.1282183228588569,0.082667524710776,5073460000000.0,,,,0.0005460423056951,0.0002898013786737
126,126,6.413461538461538,2601.0,1000,5026090000000.0,1000.0,100.0,2601.0,0.0,0.1138074474503498,0.0596773923508424,5026090000000.0,,,,0.0005633041655213,0.0002903555839012
127,127,6.413461538461538,2701.0,1000,4977170000000.0,1000.0,100.0,2701.0,0.0,0.1112059115772962,0.0632736880508981,4977170000000.0,,,,0.0005800217355623,0.0002897832900254
128,128,6.413461538461538,2801.0,1000,4926880000000.0,1000.0,100.0,2801.0,0.0,0.1150804176755564,0.0750220964925866,4926880000000.0,,,,0.0005960155027175,0.0002871984037278
129,129,6.413461538461538,2901.0,1000,4875430000000.0,1000.0,100.0,2901.0,0.0,0.1372955180348469,0.0781670604900336,4875430000000.0,,,,0.0006114961150075,0.000285569944408
130,130,6.413461538461538,3001.0,1000,4822950000000.0,1000.0,100.0,3001.0,0.0,0.1234000560317085,0.0715495746818928,4822950000000.0,,,,0.0006262852270212,0.0002830931252795
131,131,6.413461538461538,3101.0,1000,4769610000000.0,1000.0,100.0,3101.0,0.0,0.120031761755364,0.084977850127603,4769610000000.0,,,,0.0006404687830066,0.0002798349249634
132,132,6.413461538461538,3201.0,1000,4715530000000.0,1000.0,100.0,3201.0,0.0,0.1128308702428586,0.0718781464197585,4715530000000.0,,,,0.0006540979575086,0.000276671201061
133,133,6.413461538461538,3301.0,1000,4660840000000.0,1000.0,100.0,3301.0,0.0,0.1233319917613437,0.0712707060819156,4660840000000.0,,,,0.0006669900317376,0.0002727981736351
134,134,6.413461538461538,3401.0,1000,4605630000000.0,1000.0,100.0,3401.0,0.0,0.1372566864768861,0.089045070314434,4605630000000.0,,,,0.0006792287508552,0.0002682132973668
135,135,6.413461538461538,3501.0,1000,4550020000000.0,1000.0,100.0,3501.0,0.0,0.1329267580361676,0.0613245533148745,4550020000000.0,,,,0.0006908344001333,0.0002630508795978
136,136,6.413461538461538,3601.0,1000,4494090000000.0,1000.0,100.0,3601.0,0.0,0.1118928127986123,0.0760115385121843,4494090000000.0,,,,0.0007016198479544,0.0002574196403128
137,137,6.413461538461538,3701.0,1000,4437920000000.0,1000.0,100.0,3701.0,0.0,0.1450194404197274,0.0769775976840021,4437920000000.0,,,,0.0007116595378711,0.0002513049633341
138,138,6.413461538461538,3801.0,1000,4381590000000.0,1000.0,100.0,3801.0,0.0,0.1224653657042288,0.0777544981561698,4381590000000.0,,,,0.0007207627834418,0.0002448663098765
