,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
208,208,0.02,2580,1000000.0,17.15,2.43,0.81,1.5736917189644355,,17190.4,0.5911716700354306,2580.0,0.2679316486656716,0.0003715433869076,0.0004312323292701,1.39671184581864e-07,-1.1202592844077607e-07,4534286709171.752,9591321131091.166,6857591372410.994,9.650853494738495,5.705264137976357,43759375938278.66,92563671871741.88,66181064000525.73,0.0005039813013574,0.0010660654730118,0.0007622142236957,0.0002614144956051,0.0005529668802372,0.000395359602219
209,209,0.02,2590,1000000.0,17.15,2.43,0.81,1.577776935583556,,17236.2,0.5880949753892291,2590.0,0.267831437783434,0.0003821607820818,0.0004260200397751,3.092498864680127e-07,-2.741166252868008e-07,4510688461235.387,9511247056365.855,6821901714515.057,9.69102607487996,5.699744577440818,43717040908971.07,92181843244522.48,66117037098313.48,0.0005033765009287,0.0010614207351823,0.0007612995320435,0.0002603106203931,0.0005488915147283,0.0003936901168918
210,210,0.02,2600,1000000.0,17.15,2.43,0.81,1.575962641452958,,17421.6,0.6009889953726705,2600.0,0.2643230857841445,0.0003814870819606,0.0004357724223778,6.58447316095582e-07,2.167346333479093e-07,4609585594508.383,9674385621563.275,6971472346322.979,9.849914575891582,5.9199407302440665,45405945400971.984,95295903788830.66,68671312470831.17,0.000516418415752,0.0010838351503905,0.0007810239403811,0.0002662699558395,0.0005588351012068,0.0004027029319086
211,211,0.02,2610,1000000.0,17.15,2.43,0.81,1.5801132048992,,17481.3,0.6087109985932635,2610.0,0.2652710865627796,0.0003647362410526,0.0004303606547281,2.921966482310081e-07,1.1659433449872093e-07,4668813359210.331,9752710699695.035,7061047583681.856,9.854196876571596,5.9990405080806735,46012640696978.766,96116066058067.48,69588869893735.81,0.000525143625693,0.0010969754974397,0.0007942198250377,0.0002699375782242,0.0005638741377837,0.0004082497923601
212,212,0.02,2620,1000000.0,17.15,2.43,0.81,1.5783065069993836,,17492.6,0.6014921521271467,2620.0,0.2728054551761488,0.0003750025355688,0.0004306988794153,1.5959843398246236e-08,-1.6424638686962657e-07,4613444806815.215,9607745502197.742,6977308964674.901,9.614717762952925,5.783037771270356,44355899705643.64,92373532953788.95,67083238146736.14,0.0005210008370377,0.0010850121023007,0.0007879543298094,0.0002669987561022,0.0005560391866494,0.0004038051591637
213,213,0.02,2630,1000000.0,17.15,2.43,0.81,1.5825234764800369,,17597.4,0.6189577002690914,2630.0,0.2765810134696949,0.0003745172024406,0.0004365315222102,9.63590519806078e-07,1.044394603791306e-06,4747405561063.932,9863349008188.918,7179909323121.459,9.53839056548598,5.905285031696032,45293536193108.57,94103178997740.2,68501306367673.984,0.0005382554677718,0.0011182953438278,0.000814049990372,0.000275077965574,0.0005715100477557,0.0004160240418069
214,214,0.02,2640,1000000.0,17.15,2.43,0.81,1.5868124741356575,,17630.0,0.6162275724820686,2640.0,0.2684741515719906,0.000387519884749,0.0004334019859304,4.998245867981957e-07,1.13897408600123e-06,4726465480937.467,9796569481464.207,7148239840791.994,9.856749960925558,6.073403171895981,46583002328442.16,96552830187025.42,70451476793993.36,0.0005379188766969,0.0011149472416982,0.0008135409347698,0.0002742046458743,0.0005683453896538,0.0004147032453902
215,215,0.02,2650,1000000.0,17.15,2.43,0.81,1.58500854061911,,17761.5,0.6270811977136096,2650.0,0.2689630130348632,0.0003774258111207,0.0004334091581374,4.372389342367396e-07,3.909570948438014e-07,4809712786463.387,9945433088460.283,7274141893477.872,9.86676542411939,6.186737403298025,47452275883295.86,98120918159749.9,71766153878257.1,0.000549568813794,0.0011363879939933,0.0008311601355946,0.0002792545482577,0.0005774372707165,0.0004223406466479
216,216,0.02,2660,1000000.0,17.15,2.43,0.81,1.589366336428706,,17824.9,0.6346283724304382,2660.0,0.2792407175213156,0.0003793961971099,0.000431413941234,1.1430103654114595e-06,-8.522421124266363e-07,4867599616541.461,10041161825387.031,7361689120193.084,9.544635622198603,6.056696644318015,46454863261919.17,95829738749258.1,70257681074088.96,0.0005583648787732,0.0011518268853342,0.0008444631804133,0.0002827189025179,0.0005832086603078,0.0004275800872499
217,217,0.02,2670,1000000.0,17.15,2.43,0.81,1.5875692307132168,,17803.4,0.6285385407245192,2670.0,0.2786778734490326,0.0003732502851451,0.0004170193886702,5.493726914450319e-07,-8.524002282043508e-08,4820890607357.062,9921069264904.48,7291047072404.422,9.606273180744823,6.037639904572301,46308698068069.55,95300192126271.6,70036622893038.69,0.0005551683288357,0.0011424991547527,0.0008396287632979,0.0002801247316852,0.0005764778942755,0.0004236566998107
218,218,0.02,2680,1000000.0,17.15,2.43,0.81,1.5919969962841978,,17946.5,0.6463652228521634,2680.0,0.284018466368434,0.0003744327872924,0.0004298284869916,3.578203057291165e-07,3.549561014324355e-07,4957621259276.092,10178039937767.738,7497836585085.094,9.453276355784215,6.109523862057871,46860048021983.86,96204089685364.31,70870476799871.3,0.0005730523315735,0.0011764814640234,0.0008666762772168,0.0002882438491619,0.0005917671510498,0.0004359359387585
219,219,0.02,2690,1000000.0,17.15,2.43,0.81,1.5965009345656354,,17925.5,0.6355107172582255,2690.0,0.2819417739208347,0.00037141090927,0.0004201443291588,9.064591248075188e-08,2.3236861272008455e-07,4874367201370.589,9983116747287.156,7371924320195.416,9.55252424783191,6.0704044586699215,46560002197998.3,95358826796197.44,70416691720571.1,0.0005656363662622,0.0011584711712568,0.000855460475703,0.0002835962462324,0.0005808291247395,0.0004289069695302
220,220,0.02,2700,1000000.0,17.15,2.43,0.81,1.5947053706962049,,17970.4,0.6519559344780352,2700.0,0.2817942386026061,0.0003632113075567,0.0004278959635682,2.863519391328136e-07,2.1666736006070105e-07,5000502017446.531,10216828550734.316,7562688839945.209,9.595814625820807,6.256310606585751,47985902352512.7,98042903587958.22,72573203036394.72,0.0005825171098765,0.0011901759900733,0.0008809906746503,0.0002911246189529,0.0005948143423126,0.0004402927744269
221,221,0.02,2710,1000000.0,17.15,2.43,0.81,1.5992819032235883,,18033.1,0.6526285371705536,2710.0,0.2803345713216458,0.0003764055894797,0.0004377313960766,3.593658538631921e-07,4.472542350821791e-07,5005660880098.1455,10202720552852.932,7570491031178.419,9.677762762956547,6.315614646736892,48440764340471.95,98733732422310.72,73261129902147.94,0.0005853647076915,0.0011931116943667,0.0008852973414891,0.0002915964255812,0.0005943424685928,0.000441006328128
