,Simulation Number,M3.radius,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
41,41,305.0,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89729.0,89.729,1000.0,0.09991697109308,0.1356348417055967,0.1713672150240953,0.0002667389749584,-0.0002226853733396,2745707400000000.0,1570257500000000.0,1040856400000000.0,1.000830979021998,89.80356291666487,2747989025249945.0,1571562351041635.2,1041721329833312.4,0.1199286807835442,0.0685866638467981,0.0454631600355919,0.0631927815381924,0.0361396626443911,0.0239554335242821
42,42,305.0,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75467.0,75.467,1000.0,0.0997850010236334,0.1453568100477705,0.3511663588364589,-0.0006380984179498,0.000700560482263,2309290200000000.0,1320672500000000.0,875417200000000.0,1.002154622179296,75.62960287200492,2314265847883351.0,1323518050260086.2,877303393315257.1,0.1008665844118594,0.0576851381440372,0.0382370058554761,0.0531485879073963,0.0303954342607658,0.0201478307099933
43,43,305.0,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46519.0,46.519,1000.0,0.0998591606442005,0.1510832629215117,0.4145610188251691,-0.0003273060450598,-3.574869834370345e-05,1423481400000000.0,814082500000000.0,539620400000000.0,1.0014103799279996,46.58460946387061,1425489049594441.0,815230665617735.9,540381469780899.1,0.0621756879199556,0.0355579914574909,0.0235698686232511,0.0327615932906326,0.0187362053132702,0.0124194275219391
44,44,305.5,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90023.0,90.023,1000.0,0.09989835961494,0.1423490109634743,0.0720991105183322,-0.0001021823137149,4.121011966183616e-05,2754703800000000.0,1575402500000000.0,1044266800000000.0,1.0010174379784782,90.11459281913652,2757506540265578.0,1577005374334889.5,1045329276701984.0,0.1203216310242731,0.0688113902916594,0.0456121215647571,0.0633998347514482,0.0362580754297498,0.0240339242848627
45,45,305.5,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89729.0,89.729,1000.0,0.0999734806812284,0.1208090557512843,0.1635373663909373,-0.0001091844106128,0.0001715558773765,2745707400000000.0,1570257500000000.0,1040856400000000.0,1.0002652635337974,89.75280183162411,2746435736047698.0,1570674032053422.0,1041132501246839.6,0.1199286807835442,0.0685866638467981,0.0454631600355919,0.0631927815381924,0.0361396626443911,0.0239554335242821
46,46,305.5,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75560.0,75.56,1000.0,0.0997445664497718,0.1310039221711035,0.343795097431156,-0.0001955029381492,0.000124486605868,2312136000000000.0,1322300000000000.0,876496000000000.0,1.0025608768409138,75.75349985409945,2318057095535443.0,1325686247446740.0,878740598307553.5,0.1009908849982124,0.057756225080677,0.0382841263391916,0.0532140843319976,0.0304328913663385,0.0201726594199729
47,47,305.5,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46136.0,46.136,1000.0,0.0998933994790149,0.1392090492405402,0.38754026511448,-0.0001057869104926,-0.0004150427142572,1411761599999999.8,807379999999999.9,535177600000000.0,1.0010671427896236,46.18523369974207,1413268151212107.2,808241589745486.1,535748710917008.0,0.0616637833546523,0.035265235578641,0.023375813297842,0.0324918607032959,0.0185819464806431,0.0123171759528834
48,48,306.0,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90038.0,90.038,1000.0,0.0999293870538622,0.1393618570886421,0.0831872573022205,0.0003309104608239,-7.728696351908439e-06,2755162800000000.0,1575665000000000.0,1044440800000000.0,1.0007066284325323,90.10162341080832,2757109676370735.0,1576778409689146.0,1045178831565376.6,0.1203416795059429,0.0688228559266013,0.0456197216427757,0.0634103986909,0.0362641168983905,0.0240379289155045
49,49,306.0,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89679.0,89.679,1000.0,0.0999649928709232,0.1347308824931287,0.1722283297184505,0.0002991781615153,-8.22316160160057e-05,2744177400000000.0,1569382500000000.0,1040276400000000.0,1.000350193883593,89.71040503728673,2745138394140974.0,1569932088152517.8,1040640698432526.0,0.1198618525113114,0.0685484450636585,0.0454378264421965,0.0631575684066863,0.0361195244155886,0.0239420847554758
50,50,306.0,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75434.0,75.434,1000.0,0.0999440070909258,0.1318087088378013,0.3322281100491458,-0.0001400676558302,-0.0003064186756698,2308280400000000.0,1320095000000000.0,875034400000000.0,1.0005602427869755,75.4762613543927,2309573597444417.0,1320834573701872.5,875524631710955.5,0.1008224777521857,0.057659913747165,0.0382202856838351,0.0531253472406023,0.0303821430297562,0.0201390205225812
51,51,306.0,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46391.0,46.391,1000.0,0.0996217447000162,0.1423708818859982,0.3630516853358533,-0.0002573442627821,-0.0006197643328255,1419564600000000.0,811842500000000.0,538135600000000.0,1.0037969150321824,46.56714268525797,1424954566168894.0,814924996992014.5,540178855148992.5,0.0620046075430396,0.0354601513726533,0.0235050146241588,0.032671447673977,0.0186846514475358,0.0123852546737952
52,52,306.5,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90169.0,90.169,1000.0,0.0998076647734933,0.1236762071190442,0.0834505877603293,0.000513108332741,8.802151982600637e-05,2759171400000000.0,1577957500000000.0,1045960400000000.0,1.0019270586777391,90.34276095391309,2764488485189740.0,1580998316693479.0,1047976027065391.6,0.1205167695791929,0.0689229891384273,0.0456860956574718,0.063502657095446,0.0363168790578531,0.0240729026897769
53,53,306.5,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89677.0,89.67699999999999,1000.0,0.0996231781928145,0.1359321178597256,0.1553149730564606,3.642186030905172e-06,-0.000303592867974,2744116200000000.0,1569347500000000.0,1040253200000000.0,1.0037824712483692,90.01620067414001,2754495740628684.0,1575283511797450.0,1044187927820024.0,0.1198591793804221,0.0685469163123329,0.0454368130984606,0.0631561598814261,0.0361187188864365,0.0239415508047236
