Simulation Number,M3.radius,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
326,340.5,10.0,10,1000,100000.0,17.15,2.43,0.81
327,340.5,20.0,10,1000,100000.0,17.15,2.43,0.81
328,341.0,2.25,10,1000,100000.0,17.15,2.43,0.81
329,341.0,5.0,10,1000,100000.0,17.15,2.43,0.81
330,341.0,10.0,10,1000,100000.0,17.15,2.43,0.81
331,341.0,20.0,10,1000,100000.0,17.15,2.43,0.81
332,341.5,2.25,10,1000,100000.0,17.15,2.43,0.81
333,341.5,5.0,10,1000,100000.0,17.15,2.43,0.81
334,341.5,10.0,10,1000,100000.0,17.15,2.43,0.81
335,341.5,20.0,10,1000,100000.0,17.15,2.43,0.81
336,342.0,2.25,10,1000,100000.0,17.15,2.43,0.81
337,342.0,5.0,10,1000,100000.0,17.15,2.43,0.81
338,342.0,10.0,10,1000,100000.0,17.15,2.43,0.81
339,342.0,20.0,10,1000,100000.0,17.15,2.43,0.81
340,342.5,2.25,10,1000,100000.0,17.15,2.43,0.81
341,342.5,5.0,10,1000,100000.0,17.15,2.43,0.81
342,342.5,10.0,10,1000,100000.0,17.15,2.43,0.81
343,342.5,20.0,10,1000,100000.0,17.15,2.43,0.81
344,343.0,2.25,10,1000,100000.0,17.15,2.43,0.81
345,343.0,5.0,10,1000,100000.0,17.15,2.43,0.81
346,343.0,10.0,10,1000,100000.0,17.15,2.43,0.81
347,343.0,20.0,10,1000,100000.0,17.15,2.43,0.81
348,343.5,2.25,10,1000,100000.0,17.15,2.43,0.81
349,343.5,5.0,10,1000,100000.0,17.15,2.43,0.81
350,343.5,10.0,10,1000,100000.0,17.15,2.43,0.81
351,343.5,20.0,10,1000,100000.0,17.15,2.43,0.81
352,344.0,2.25,10,1000,100000.0,17.15,2.43,0.81
353,344.0,5.0,10,1000,100000.0,17.15,2.43,0.81
354,344.0,10.0,10,1000,100000.0,17.15,2.43,0.81
355,344.0,20.0,10,1000,100000.0,17.15,2.43,0.81
356,344.5,2.25,10,1000,100000.0,17.15,2.43,0.81
357,344.5,5.0,10,1000,100000.0,17.15,2.43,0.81
358,344.5,10.0,10,1000,100000.0,17.15,2.43,0.81
359,344.5,20.0,10,1000,100000.0,17.15,2.43,0.81
360,345.0,2.25,10,1000,100000.0,17.15,2.43,0.81
361,345.0,5.0,10,1000,100000.0,17.15,2.43,0.81
362,345.0,10.0,10,1000,100000.0,17.15,2.43,0.81
363,345.0,20.0,10,1000,100000.0,17.15,2.43,0.81
364,345.5,2.25,10,1000,100000.0,17.15,2.43,0.81
365,345.5,5.0,10,1000,100000.0,17.15,2.43,0.81
366,345.5,10.0,10,1000,100000.0,17.15,2.43,0.81
367,345.5,20.0,10,1000,100000.0,17.15,2.43,0.81
368,346.0,2.25,10,1000,100000.0,17.15,2.43,0.81
369,346.0,5.0,10,1000,100000.0,17.15,2.43,0.81
370,346.0,10.0,10,1000,100000.0,17.15,2.43,0.81
371,346.0,20.0,10,1000,100000.0,17.15,2.43,0.81
372,346.5,2.25,10,1000,100000.0,17.15,2.43,0.81
373,346.5,5.0,10,1000,100000.0,17.15,2.43,0.81
374,346.5,10.0,10,1000,100000.0,17.15,2.43,0.81
375,346.5,20.0,10,1000,100000.0,17.15,2.43,0.81
376,347.0,2.25,10,1000,100000.0,17.15,2.43,0.81
377,347.0,5.0,10,1000,100000.0,17.15,2.43,0.81
378,347.0,10.0,10,1000,100000.0,17.15,2.43,0.81
379,347.0,20.0,10,1000,100000.0,17.15,2.43,0.81
380,347.5,2.25,10,1000,100000.0,17.15,2.43,0.81
381,347.5,5.0,10,1000,100000.0,17.15,2.43,0.81
382,347.5,10.0,10,1000,100000.0,17.15,2.43,0.81
383,347.5,20.0,10,1000,100000.0,17.15,2.43,0.81
384,348.0,2.25,10,1000,100000.0,17.15,2.43,0.81
385,348.0,5.0,10,1000,100000.0,17.15,2.43,0.81
386,348.0,10.0,10,1000,100000.0,17.15,2.43,0.81
387,348.0,20.0,10,1000,100000.0,17.15,2.43,0.81
388,348.5,2.25,10,1000,100000.0,17.15,2.43,0.81
389,348.5,5.0,10,1000,100000.0,17.15,2.43,0.81
390,348.5,10.0,10,1000,100000.0,17.15,2.43,0.81
391,348.5,20.0,10,1000,100000.0,17.15,2.43,0.81
392,349.0,2.25,10,1000,100000.0,17.15,2.43,0.81
393,349.0,5.0,10,1000,100000.0,17.15,2.43,0.81
394,349.0,10.0,10,1000,100000.0,17.15,2.43,0.81
395,349.0,20.0,10,1000,100000.0,17.15,2.43,0.81
396,349.5,2.25,10,1000,100000.0,17.15,2.43,0.81
397,349.5,5.0,10,1000,100000.0,17.15,2.43,0.81
398,349.5,10.0,10,1000,100000.0,17.15,2.43,0.81
399,349.5,20.0,10,1000,100000.0,17.15,2.43,0.81
