,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
83,83,0.1,880,2.25,1,100000.0,0.01715,0.00243,5.72,7661180000000.0,100000.0,100.0,7661180000000.0,880.0,0.8792890129141142,0.032887888146913104,0.00545156723858256,1.0008085931649815,100.08085931649816,7667374777783.692
84,84,0.1,890,2.25,1,100000.0,0.01715,0.00243,5.72,7676590000000.0,100000.0,100.0,7676590000000.0,890.0,0.8897896169542036,0.03843496758380824,0.005355670401864989,1.0002364413360054,100.02364413360054,7678405063195.564
85,85,0.1,900,2.25,1,100000.0,0.01715,0.00243,5.72,7691750000000.0,100000.0,100.0,7691750000000.0,900.0,0.8987570263200269,0.03418949816199652,0.004979906231250884,1.00138299189166,100.138299189166,7702387627882.675
86,86,0.1,910,2.25,1,100000.0,0.01715,0.00243,5.72,7706650000000.0,100000.0,100.0,7706650000000.0,910.0,0.9089258942285596,0.03452782269028824,0.00514510752209403,1.0011817308520536,100.11817308520538,7715757186070.9795
87,87,0.1,920,2.25,1,100000.0,0.01715,0.00243,5.72,7721310000000.0,100000.0,100.0,7721310000000.0,920.0,0.9192469702207972,0.0338089529639515,0.0046277639046905135,1.0008191811380371,100.08191811380372,7727635151512.9375
88,88,0.1,930,2.25,1,100000.0,0.01715,0.00243,5.72,7735710000000.0,100000.0,100.0,7735710000000.0,930.0,0.9292899595872086,0.03404402616988805,0.004938111832225762,1.00076406766851,100.076406766851,7741620605903.968
89,89,0.1,940,2.25,1,100000.0,0.01715,0.00243,5.72,7749880000000.0,100000.0,100.0,7749880000000.0,940.0,0.93787819061356,0.035196844289747106,0.0047958120973659165,1.0022623507057475,100.22623507057476,7767412946487.461
90,90,0.1,950,2.25,1,100000.0,0.01715,0.00243,5.72,7763820000000.0,100000.0,100.0,7763820000000.0,950.0,0.9490461895572935,0.03420731472299556,0.00544442835626544,1.0010050200434937,100.10050200434938,7771622794714.078
91,91,0.1,960,2.25,1,100000.0,0.01715,0.00243,5.72,7777520000000.0,100000.0,100.0,7777520000000.0,960.0,0.9593260616557016,0.03923168674311573,0.004850591952431097,1.0007025122856923,100.07025122856926,7782983803352.219
92,92,0.1,970,2.25,1,100000.0,0.01715,0.00243,5.72,7790990000000.0,100000.0,100.0,7790990000000.0,970.0,0.9691794767833245,0.035030724185275745,0.00503308077073921,1.0008466163763587,100.08466163763588,7797585979722.048
93,93,0.1,980,2.25,1,100000.0,0.01715,0.00243,5.72,7804250000000.0,100000.0,100.0,7804250000000.0,980.0,0.9790400578539219,0.03673774444041843,0.00490644957375104,1.000980493227399,100.09804932273988,7811902014269.927
94,94,0.1,990,2.25,1,100000.0,0.01715,0.00243,5.72,7817280000000.0,100000.0,100.0,7817280000000.0,990.0,0.9898294144879856,0.03355182500237419,0.004880028708939322,1.000172338293364,100.0172338293364,7818627216693.949
95,95,0.1,1000,2.25,1,100000.0,0.01715,0.00243,5.72,7830100000000.0,100000.0,100.0,7830100000000.0,1000.0,0.9988033517813619,0.0346081662215153,0.005030264280620576,1.0011980819012107,100.11980819012108,7839481101094.672
96,96,0.1,1010,2.25,1,100000.0,0.01715,0.00243,5.72,7842710000000.0,100000.0,100.0,7842710000000.0,1010.0,1.0091005186031907,0.034495877641361174,0.004912802327532984,1.0008913694723438,100.0891369472344,7849700752274.446
97,97,0.1,1020,2.25,1,100000.0,0.01715,0.00243,5.72,7855110000000.0,100000.0,100.0,7855110000000.0,1020.0,1.0160661048703332,0.0347465842076748,0.005287931654805816,1.003871692118072,100.3871692118072,7885522567473.591
98,98,0.1,1030,2.25,1,100000.0,0.01715,0.00243,5.72,7867300000000.0,100000.0,100.0,7867300000000.0,1030.0,1.0289640971786866,0.035051590656018455,0.005039684442881713,1.0010067434074263,100.10067434074269,7875220352409.248
99,99,0.1,1040,2.25,1,100000.0,0.01715,0.00243,5.72,7879300000000.0,100000.0,100.0,7879300000000.0,1040.0,1.0384575862246948,0.03448070746468708,0.0048862549594055615,1.0014852929919966,100.14852929919967,7891003069071.84
100,100,0.1,1050,2.25,1,100000.0,0.01715,0.00243,5.72,7891090000000.0,100000.0,100.0,7891090000000.0,1050.0,1.0492726496256637,0.03372748184089211,0.005338078479998219,1.0006931948284328,100.06931948284326,7896560062778.697
101,101,0.1,1060,2.25,1,100000.0,0.01715,0.00243,5.72,7902700000000.0,100000.0,100.0,7902700000000.0,1060.0,1.059709110186759,0.03943793418629753,0.004690223740350176,1.0002744996815112,100.02744996815112,7904869288633.08
102,102,0.1,1070,2.25,1,100000.0,0.01715,0.00243,5.72,7914110000000.0,100000.0,100.0,7914110000000.0,1070.0,1.0677286295951944,0.03822788258341088,0.004783710128614315,1.0021272918434965,100.21272918434964,7930945621651.534
103,103,0.1,1080,2.25,1,100000.0,0.01715,0.00243,5.72,7925330000000.0,100000.0,100.0,7925330000000.0,1080.0,1.0696593879542888,0.03720393562751019,0.004671443638360575,1.0096672007576988,100.96672007576989,8001945756181.011
104,104,0.1,1090,2.25,1,100000.0,0.01715,0.00243,5.72,7936380000000.0,100000.0,100.0,7936380000000.0,1090.0,1.089729084576902,0.034305923494135006,0.005300262327649945,1.000248608050324,100.0248608050324,7938353047958.429
105,105,0.1,1100,2.25,1,100000.0,0.01715,0.00243,5.72,7947230000000.0,100000.0,100.0,7947230000000.0,1100.0,1.0979334761948392,0.03760420289059298,0.00552854136336432,1.0018821940035227,100.18821940035227,7962188228650.616
106,106,0.1,1110,2.25,1,100000.0,0.01715,0.00243,5.72,7957910000000.0,100000.0,100.0,7957910000000.0,1110.0,1.1098544919514095,0.0397545367964803,0.005212872150378188,1.0001311055184672,100.0131105518467,7958953325916.464
107,107,0.1,1120,2.25,1,100000.0,0.01715,0.00243,5.72,7968420000000.0,100000.0,100.0,7968420000000.0,1120.0,1.1187937766733285,0.03905029894706184,0.005313607025549838,1.001078146260572,100.1078146260572,7977011122225.667
108,108,0.1,1130,2.25,1,100000.0,0.01715,0.00243,5.72,7978750000000.0,100000.0,100.0,7978750000000.0,1130.0,1.1293564454529132,0.035494811632760685,0.00493893338180018,1.000569841833088,100.0569841833088,7983296625525.752
109,109,0.1,1140,2.25,1,100000.0,0.01715,0.00243,5.72,7988910000000.0,100000.0,100.0,7988910000000.0,1140.0,1.1364498011225803,0.03339219748589361,0.00477930801226053,1.0031239381395576,100.31239381395577,8013866860642.493
