,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
106,106,0.1,1110,2.25,1,100000.0,0.01715,0.00243,5.72,79579100000.0,3.3836,0.0022562,179546365.42,0.0015914503698029646,0.000957759992678752,0.0002656683758812831
107,107,0.1,1120,2.25,1,100000.0,0.01715,0.00243,5.72,79684200000.0,3.352,0.0022394,178444797.48,0.0016198262234458295,0.0009234503572151814,0.0002627559488862232
108,108,0.1,1130,2.25,1,100000.0,0.01715,0.00243,5.72,79787500000.0,3.4173,0.00227615,181608318.125,0.0015934757928345788,0.000960006351159629,0.00026206079081646336
109,109,0.1,1140,2.25,1,100000.0,0.01715,0.00243,5.72,79889100000.0,3.4045,0.0022659,181020711.69,0.0016432143117992152,0.0009482575614907635,0.00026528364526511765
110,110,0.1,1150,2.25,1,100000.0,0.01715,0.00243,5.72,79989000000.0,3.394,0.0022655500000000007,181219078.95,0.001663553059241826,0.0009382999538813866,0.000261762030849895
111,111,0.1,1160,2.25,1,100000.0,0.01715,0.00243,5.72,80087300000.0,3.4284,0.0022817500000000004,182739196.775,0.0016761167200999808,0.0009523368231046504,0.00026107221237785635
112,112,0.1,1170,2.25,1,100000.0,0.01715,0.00243,5.72,80183900000.0,3.4416,0.0022915499999999994,183745416.045,0.0017703632584383283,0.0009597368466297334,0.00025980718927588715
113,113,0.1,1180,2.25,1,100000.0,0.01715,0.00243,5.72,80278900000.0,3.4251,0.002284249999999999,183377077.325,0.0017384164842355403,0.0009480839014872896,0.00026024030062625194
114,114,0.1,1190,2.25,1,100000.0,0.01715,0.00243,5.72,80372400000.0,3.4365,0.002291200000000001,184149242.88,0.001756340415827526,0.0009606660130211209,0.00026742692483744753
115,115,0.1,1200,2.25,1,100000.0,0.01715,0.00243,5.72,80464300000.0,3.4276,0.002291900000000001,184416129.17,0.0017818617963292127,0.000951313530176994,0.0002643553567632156
116,116,0.1,1210,2.25,1,100000.0,0.01715,0.00243,5.72,80554600000.0,3.4307,0.0022831999999999996,183922262.72,0.0018078355162235084,0.000947365784389012,0.0002622576073036169
117,117,0.1,1220,2.25,1,100000.0,0.01715,0.00243,5.72,80643500000.0,3.3966,0.002259900000000001,182246245.65,0.0017747698373798584,0.0009580393074908163,0.0002629472659497816
118,118,0.1,1230,2.25,1,100000.0,0.01715,0.00243,5.72,80730900000.0,3.3887,0.002255599999999999,182096618.04,0.001841672446666962,0.0009847045525320638,0.00026104404870442584
119,119,0.1,1240,2.25,1,100000.0,0.01715,0.00243,5.72,80816800000.0,3.4013,0.002263,182888418.4,0.0018691963615807708,0.0009928468392204897,0.000260382284299767
120,120,0.1,1250,2.25,1,100000.0,0.01715,0.00243,5.72,80901200000.0,3.4482,0.00229695,185826011.34,0.001858411322033612,0.0009524827061940407,0.00026065744043232177
121,121,0.1,1260,2.25,1,100000.0,0.01715,0.00243,5.72,80984200000.0,3.3954000000000004,0.0022623500000000006,183214604.87,0.0019335936009561008,0.0009455481107760733,0.0002611752406628574
122,122,0.1,1270,2.25,1,100000.0,0.01715,0.00243,5.72,81065900000.0,3.3878,0.0022538,182706325.42,0.001899293387054536,0.0009774073693816058,0.00026346604647554673
123,123,0.1,1280,2.25,1,100000.0,0.01715,0.00243,5.72,81146100000.0,3.3295,0.0022202,180160571.22,0.0019520017311303944,0.0009425335778408992,0.00026309621726282133
124,124,0.1,1290,2.25,1,100000.0,0.01715,0.00243,5.72,81225000000.0,3.3343,0.002224299999999999,180668767.5,0.001986532670764609,0.0009657225206559815,0.00026132352648513375
125,125,0.1,1300,2.25,1,100000.0,0.01715,0.00243,5.72,81302500000.0,3.3637,0.0022360999999999995,181800520.25,0.0019855931241083906,0.0009995640227603295,0.00025795057157353737
126,126,0.1,1310,2.25,1,100000.0,0.01715,0.00243,5.72,81378700000.0,3.3263,0.0022135,180131752.45,0.0020008128287132194,0.0009843878286303473,0.0002651315085828341
127,127,0.1,1320,2.25,1,100000.0,0.01715,0.00243,5.72,81453600000.0,3.2885000000000004,0.002198100000000001,179043158.16,0.002039720943616021,0.0009826344730185699,0.0002626682308315742
128,128,0.1,1330,2.25,1,100000.0,0.01715,0.00243,5.72,81527200000.0,3.2758,0.0021868,178283680.96,0.00206867868824254,0.0009623038490691952,0.00025763504274222017
129,129,0.1,1340,2.25,1,100000.0,0.01715,0.00243,5.72,81599500000.0,3.305,0.0022041000000000005,179853457.95,0.0020960563187854856,0.0009789789717980872,0.0002615964844035701
130,130,0.1,1350,2.25,1,100000.0,0.01715,0.00243,5.72,81670500000.0,3.2947,0.0021952500000000006,179287165.125,0.002080166107379364,0.0009427832108055072,0.00026675251968328445
131,131,0.1,1360,2.25,1,100000.0,0.01715,0.00243,5.72,81740400000.0,3.2356,0.002156999999999999,176314042.8,0.0021515562747219746,0.0009413760947649832,0.00026583399048947
132,132,0.1,1370,2.25,1,100000.0,0.01715,0.00243,5.72,81809000000.0,3.2230000000000003,0.0021545500000000003,176261580.95,0.002164979009459444,0.0009746065436463824,0.00026732015931169506
133,133,0.1,1380,2.25,1,100000.0,0.01715,0.00243,5.72,81876300000.0,3.1764,0.0021177999999999995,173397628.14,0.002168484259974252,0.0009476476427579848,0.0002604330039186315
