"Harmonic Energy (eV)"	"Harmonic: 1"	"Harmonic Energy (eV)"	"Harmonic: 3"	"Harmonic Energy (eV)"	"Harmonic: 5"	"Harmonic Energy (eV)"	"Harmonic: 7"
4.97301e+2	3.05101e+14	1.49190e+3	1.34924e+13	2.48650e+3	6.57794e+11	3.48111e+3	3.26712e+10
4.97039e+2	3.05830e+14	1.49112e+3	1.35935e+13	2.48519e+3	6.66151e+11	3.47927e+3	3.32580e+10
4.96777e+2	3.06559e+14	1.49033e+3	1.36952e+13	2.48388e+3	6.74594e+11	3.47744e+3	3.38539e+10
4.96514e+2	3.07288e+14	1.48954e+3	1.37975e+13	2.48257e+3	6.83125e+11	3.47560e+3	3.44591e+10
4.96252e+2	3.08017e+14	1.48876e+3	1.39002e+13	2.48126e+3	6.91744e+11	3.47376e+3	3.50738e+10
4.95989e+2	3.08746e+14	1.48797e+3	1.40035e+13	2.47995e+3	7.00453e+11	3.47193e+3	3.56980e+10
4.95727e+2	3.09475e+14	1.48718e+3	1.41072e+13	2.47863e+3	7.09250e+11	3.47009e+3	3.63319e+10
4.95464e+2	3.10204e+14	1.48639e+3	1.42115e+13	2.47732e+3	7.18138e+11	3.46825e+3	3.69756e+10
4.95201e+2	3.10933e+14	1.48560e+3	1.43163e+13	2.47600e+3	7.27118e+11	3.46641e+3	3.76292e+10
4.94938e+2	3.11454e+14	1.48481e+3	1.44217e+13	2.47469e+3	7.36188e+11	3.46456e+3	3.82929e+10
4.94674e+2	3.12183e+14	1.48402e+3	1.45276e+13	2.47337e+3	7.45352e+11	3.46272e+3	3.89667e+10
4.94411e+2	3.12911e+14	1.48323e+3	1.46340e+13	2.47206e+3	7.54608e+11	3.46088e+3	3.96509e+10
4.94148e+2	3.13639e+14	1.48244e+3	1.47409e+13	2.47074e+3	7.63958e+11	3.45903e+3	4.03456e+10
4.93884e+2	3.14367e+14	1.48165e+3	1.48484e+13	2.46942e+3	7.73403e+11	3.45719e+3	4.10508e+10
4.93620e+2	3.15095e+14	1.48086e+3	1.49564e+13	2.46810e+3	7.82942e+11	3.45534e+3	4.17667e+10
4.93356e+2	3.15823e+14	1.48007e+3	1.50650e+13	2.46678e+3	7.92578e+11	3.45349e+3	4.24935e+10
4.93092e+2	3.16551e+14	1.47928e+3	1.51741e+13	2.46546e+3	8.02310e+11	3.45165e+3	4.32313e+10
4.92828e+2	3.17279e+14	1.47848e+3	1.52837e+13	2.46414e+3	8.12140e+11	3.44980e+3	4.39802e+10
4.92564e+2	3.18007e+14	1.47769e+3	1.53939e+13	2.46282e+3	8.22068e+11	3.44795e+3	4.47404e+10
4.92299e+2	3.18734e+14	1.47690e+3	1.55046e+13	2.46150e+3	8.32094e+11	3.44610e+3	4.55120e+10
4.92035e+2	3.19462e+14	1.47610e+3	1.56158e+13	2.46017e+3	8.42220e+11	3.44424e+3	4.62952e+10
4.91770e+2	3.20401e+14	1.47531e+3	1.57276e+13	2.45885e+3	8.52446e+11	3.44239e+3	4.70901e+10
4.91505e+2	3.21129e+14	1.47452e+3	1.58400e+13	2.45753e+3	8.62773e+11	3.44054e+3	4.78968e+10
4.91241e+2	3.21857e+14	1.47372e+3	1.59529e+13	2.45620e+3	8.73202e+11	3.43868e+3	4.87155e+10
4.90976e+2	3.22585e+14	1.47293e+3	1.60663e+13	2.45488e+3	8.83733e+11	3.43683e+3	4.95463e+10
4.90711e+2	3.23312e+14	1.47213e+3	1.61803e+13	2.45355e+3	8.94368e+11	3.43497e+3	5.03895e+10
4.90445e+2	3.24040e+14	1.47134e+3	1.62948e+13	2.45223e+3	9.05106e+11	3.43312e+3	5.12450e+10
4.90180e+2	3.24767e+14	1.47054e+3	1.64099e+13	2.45090e+3	9.15949e+11	3.43126e+3	5.21132e+10
4.89915e+2	3.25494e+14	1.46974e+3	1.65255e+13	2.44957e+3	9.26897e+11	3.42940e+3	5.29941e+10
4.89649e+2	3.26222e+14	1.46895e+3	1.66417e+13	2.44824e+3	9.37952e+11	3.42754e+3	5.38879e+10
4.89383e+2	3.26949e+14	1.46815e+3	1.67584e+13	2.44692e+3	9.49113e+11	3.42568e+3	5.47948e+10
4.89117e+2	3.27676e+14	1.46735e+3	1.68757e+13	2.44559e+3	9.60382e+11	3.42382e+3	5.57149e+10
4.88852e+2	3.28403e+14	1.46655e+3	1.69935e+13	2.44426e+3	9.71759e+11	3.42196e+3	5.66484e+10
4.88586e+2	3.29129e+14	1.46576e+3	1.71119e+13	2.44293e+3	9.83246e+11	3.42010e+3	5.75954e+10
4.88319e+2	3.29856e+14	1.46496e+3	1.72309e+13	2.44160e+3	9.94842e+11	3.41824e+3	5.85562e+10
4.88053e+2	3.30585e+14	1.46416e+3	1.73504e+13	2.44027e+3	1.00655e+12	3.41637e+3	5.95308e+10
4.87787e+2	3.31309e+14	1.46336e+3	1.74704e+13	2.43893e+3	1.01837e+12	3.41451e+3	6.05194e+10
4.87520e+2	3.31812e+14	1.46256e+3	1.75910e+13	2.43760e+3	1.03030e+12	3.41264e+3	6.15222e+10
4.87254e+2	3.32538e+14	1.46176e+3	1.77122e+13	2.43627e+3	1.04234e+12	3.41078e+3	6.25395e+10
4.86987e+2	3.33263e+14	1.46096e+3	1.78340e+13	2.43494e+3	1.05450e+12	3.40891e+3	6.35712e+10
4.86720e+2	3.33989e+14	1.46016e+3	1.79563e+13	2.43360e+3	1.06677e+12	3.40704e+3	6.46177e+10
4.86453e+2	3.34714e+14	1.45936e+3	1.80791e+13	2.43227e+3	1.07916e+12	3.40517e+3	6.56790e+10
4.86186e+2	3.35439e+14	1.45856e+3	1.82025e+13	2.43093e+3	1.09166e+12	3.40331e+3	6.67554e+10
4.85919e+2	3.36164e+14	1.45776e+3	1.83265e+13	2.42960e+3	1.10428e+12	3.40144e+3	6.78471e+10
4.85652e+2	3.36889e+14	1.45696e+3	1.84511e+13	2.42826e+3	1.11702e+12	3.39957e+3	6.89541e+10
4.85385e+2	3.37614e+14	1.45615e+3	1.85762e+13	2.42692e+3	1.12988e+12	3.39769e+3	7.00768e+10
4.85118e+2	3.38338e+14	1.45535e+3	1.87019e+13	2.42559e+3	1.14285e+12	3.39582e+3	7.12152e+10
4.84850e+2	3.39062e+14	1.45455e+3	1.88281e+13	2.42425e+3	1.15595e+12	3.39395e+3	7.23696e+10
4.84582e+2	3.40015e+14	1.45375e+3	1.89549e+13	2.42291e+3	1.16917e+12	3.39208e+3	7.35401e+10
4.84315e+2	3.40740e+14	1.45294e+3	1.90823e+13	2.42157e+3	1.18250e+12	3.39020e+3	7.47270e+10
4.84047e+2	3.41464e+14	1.45214e+3	1.92103e+13	2.42023e+3	1.19597e+12	3.38833e+3	7.59304e+10
4.83779e+2	3.42188e+14	1.45134e+3	1.93388e+13	2.41890e+3	1.20955e+12	3.38645e+3	7.71505e+10
4.83511e+2	3.42912e+14	1.45053e+3	1.94679e+13	2.41756e+3	1.22326e+12	3.38458e+3	7.83874e+10
4.83243e+2	3.43636e+14	1.44973e+3	1.95975e+13	2.41622e+3	1.23709e+12	3.38270e+3	7.96415e+10
4.82975e+2	3.44360e+14	1.44892e+3	1.97278e+13	2.41487e+3	1.25105e+12	3.38082e+3	8.09129e+10
4.82707e+2	3.45084e+14	1.44812e+3	1.98586e+13	2.41353e+3	1.26513e+12	3.37895e+3	8.22017e+10
4.82438e+2	3.45807e+14	1.44731e+3	1.99899e+13	2.41219e+3	1.27935e+12	3.37707e+3	8.35082e+10
4.82170e+2	3.46530e+14	1.44651e+3	2.01219e+13	2.41085e+3	1.29369e+12	3.37519e+3	8.48326e+10
4.81901e+2	3.47253e+14	1.44570e+3	2.02544e+13	2.40951e+3	1.30816e+12	3.37331e+3	8.61751e+10
4.81633e+2	3.47976e+14	1.44490e+3	2.03875e+13	2.40816e+3	1.32276e+12	3.37143e+3	8.75358e+10
4.81364e+2	3.48698e+14	1.44409e+3	2.05212e+13	2.40682e+3	1.33749e+12	3.36955e+3	8.89150e+10
4.81095e+2	3.49421e+14	1.44329e+3	2.06555e+13	2.40548e+3	1.35235e+12	3.36767e+3	9.03129e+10
4.80826e+2	3.50143e+14	1.44248e+3	2.07903e+13	2.40413e+3	1.36734e+12	3.36578e+3	9.17297e+10
4.80557e+2	3.50865e+14	1.44167e+3	2.09257e+13	2.40279e+3	1.38247e+12	3.36390e+3	9.31656e+10
4.80288e+2	3.51587e+14	1.44086e+3	2.10617e+13	2.40144e+3	1.39773e+12	3.36202e+3	9.46209e+10
4.80019e+2	3.52068e+14	1.44006e+3	2.11983e+13	2.40010e+3	1.41312e+12	3.36013e+3	9.60956e+10
4.79750e+2	3.52789e+14	1.43925e+3	2.13355e+13	2.39875e+3	1.42866e+12	3.35825e+3	9.75901e+10
4.79481e+2	3.53510e+14	1.43844e+3	2.14732e+13	2.39740e+3	1.44432e+12	3.35636e+3	9.91045e+10
4.79211e+2	3.54231e+14	1.43763e+3	2.16115e+13	2.39606e+3	1.46013e+12	3.35448e+3	1.00639e+11
4.78942e+2	3.54951e+14	1.43683e+3	2.17504e+13	2.39471e+3	1.47607e+12	3.35259e+3	1.02194e+11
4.78672e+2	3.55671e+14	1.43602e+3	2.18899e+13	2.39336e+3	1.49215e+12	3.35070e+3	1.03770e+11
4.78402e+2	3.56391e+14	1.43521e+3	2.20300e+13	2.39201e+3	1.50838e+12	3.34882e+3	1.05366e+11
4.78133e+2	3.57111e+14	1.43440e+3	2.21707e+13	2.39066e+3	1.52474e+12	3.34693e+3	1.06984e+11
4.77863e+2	3.57830e+14	1.43359e+3	2.23119e+13	2.38931e+3	1.54124e+12	3.34504e+3	1.08623e+11
