,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
649,649,0.02,6990,100000.0,17.15,2.43,0.81,1.82094959590876,,925.0,0.6089404764643646,6990.0,1.11631079432118,0.0003201343270369,0.0004010780658317,2.400464565196604e-06,1.4038191998304996e-05,4670573454481.677,340521346281.4937,2041659163131.1765,6.261697043116533,3.813000780910885,29245715989586.49,2132241507128.89,12784251144830.262,0.0008749887939614,6.379352878286957e-05,0.0003824859851233,0.0001179135513115,8.596820418036631e-06,5.154383821144773e-05
650,650,0.02,7000,100000.0,17.15,2.43,0.81,1.82212538377739,,951.0,0.6288893299106677,7000.0,1.1949841620798909,0.0002899074507164,0.0004114903842736,2.7125631711899272e-06,-1.6773180975803252e-05,4823581160414.821,345026053970.57385,2097142972057.936,5.85781822230713,3.6839193765652296,28255661618255.31,2021099906119.5508,12284682316504.309,0.0009027281492546,6.4571263712024e-05,0.0003924781051523,0.0001214968064122,8.690548016578143e-06,5.282303028006478e-05
651,651,0.02,7010,100000.0,17.15,2.43,0.81,1.82329779796716,,918.0,0.6076389566076935,7010.0,0.9377688040476642,0.0003598861622148,0.0004646142505016,3.233504270349953e-06,-5.483071879550152e-06,4660590797181.009,326983803862.338,2015264156804.8071,7.475190014578157,4.542216660902521,34838801789122.33,2444266065560.532,15064482501684.562,0.0008713245894905,6.1131526252581e-05,0.0003767653695761,0.0001171226364125,8.217242585577598e-06,5.064444860839776e-05
652,652,0.02,7020,100000.0,17.15,2.43,0.81,1.82447098358789,,903.0,0.5965098896358557,7020.0,1.022362257072018,0.0004147193872868,0.0003502965122499,-3.740528292010223e-06,-7.280843591857768e-06,4575230853507.014,314912206279.1409,1967540110458.452,6.866450665055695,4.09590572840242,31415596936846.566,2162329128239.564,13510017099981.19,0.0008544249819344,5.880989719999687e-05,0.000367438382272,0.000114714878421,7.895801679369688e-06,4.9332182743702327e-05
653,653,0.02,7030,100000.0,17.15,2.43,0.81,1.82564913031762,,940.0,0.6181068953142923,7030.0,1.0848326965106023,0.0003058957684447,0.0004026685529795,1.1814050544949642e-05,-1.808998890564626e-05,4740879887060.622,320010760450.3418,2027570624266.5647,6.480261908229914,4.005494568919463,30722143343612.285,2073753541170.0376,13139188682680.568,0.0008844318380345,5.969940428746117e-05,0.0003782521507999,0.0001185989382376,8.005462555091159e-06,5.072217161549968e-05
654,654,0.02,7040,100000.0,17.15,2.43,0.81,1.82682383065328,,913.0,0.5961727173629444,7040.0,1.0010032444115495,0.0003649309689316,0.0004790913437788,6.769493913272901e-06,-6.287988519699419e-06,4572644742173.783,302696257057.21405,1944812290936.5293,7.032944237996491,4.192849477428431,32159155491876.06,2128845896933.638,13677756395526.82,0.0008521456419629,5.640965148917073e-05,0.0003624299309484,0.0001141317957042,7.55520477072563e-06,4.854191208539533e-05
655,655,0.02,7050,100000.0,17.15,2.43,0.81,1.82799926291382,,904.0,0.5848048428755904,7050.0,0.9724298557321164,0.0003294534946344,0.0004031592948946,1.2041157213776432e-05,5.061259362307084e-06,4485453144855.778,291181842865.066,1897126719446.916,7.249880244259104,4.239765077110793,32518998141439.773,2111033490074.4004,13753941524174.28,0.0008350069486841,5.4206086714299806e-05,0.0003531669916314,0.0001117048685665,7.251537009925811e-06,4.724568154121994e-05
656,656,0.02,7060,100000.0,17.15,2.43,0.81,1.82917541375128,,936.0,0.5984011963527519,7060.0,1.0744993545758916,0.0003730693814702,0.0004074013939974,1.0216666282354073e-05,4.921296052880191e-06,4589737176025.607,292075555563.601,1930385632255.8164,6.570501852731781,3.9317961693126713,30156876618628.19,1919082978968.305,12683602373223.652,0.000853451807266,5.4310824605832754e-05,0.0003589510778906,0.0001140466046462,7.257545287384108e-06,4.796656509367307e-05
657,657,0.02,7070,100000.0,17.15,2.43,0.81,1.83034802200767,,904.0,0.5696259365110103,7070.0,1.099609553602022,0.0003047800399709,0.0003827254227233,7.803534571501182e-06,-3.730941775234717e-06,4369030933039.449,272628208235.88547,1827232901020.4187,6.429554905957848,3.6624412346552,28090924269805.383,1752878033765.5352,11748294263083.424,0.0008115830871215,5.064291058305093e-05,0.0003394233964987,0.0001083144426838,6.758838032402012e-06,4.529968232336227e-05
658,658,0.02,7080,100000.0,17.15,2.43,0.81,1.8315255583186,,909.0,0.5720233661082094,7080.0,1.03561747312051,0.0003739891806849,0.0004104449001455,6.503243291548473e-06,-2.730621923070172e-06,4387419218049.966,268374615601.0701,1824553392395.1992,6.836501105631821,3.9106383748460094,29994596335068.89,1834743356280.2307,12473561284394.07,0.0008141111139155,4.979846839225743e-05,0.0003385564772498,0.000108522391718,6.63822026434365e-06,4.513015240151672e-05
