
 Ring Parameters
 ---------------
      gamma			     3327.
      dgamma			0.8000E-03
      rho (meter)		    4.3800
      epsx ( pi m rad)    	0.6100E-08
      epsy ( pi m rad) 	0.6000E-10
      current (amp)		    0.2000


 insertion parameters
 --------------------
      length of section (m)	    3.4300
      betax (m/rad)		    1.1200
      betay (m/rad)		    1.4600


 properties of undulator
 -----------------------
      periode length (m)             	    0.0460
      number of periodes              	   74.0000
      minimum K                       	    0.5000
      maximum K                            2.5000
      order of spectrum k                  1.0000
      minimum gap (REC hybrid, m)          0.0166

 properties of radiation
      theta0 (rad) K = 0               0.3494E-04
      sigmax (m)                       0.8266E-04
      sigmay (m)                       0.9359E-05
      sigmaxp (rad) K = 0              0.8165E-04
      sigmayp (rad) K = 0              0.3552E-04
      dgamma                           0.8000E-03
      Ptot (Watt)                      0.4218E+03
      dP/dOmega (Watt/mrad^2)          0.7706E+09
      h*nue (eV)         Brilliance              Flux         K       Ptot    gap
                            photon              photon               (Watt)     (m)
               sec*(mm*mrad)**2*0.1% BW      sec*0.1% BW  

      sigmay (m)                       0.9359E-05
      sigmaxp (rad) K = 0              0.7651E-04
      sigmayp (rad) K = 0              0.2117E-04
      dgamma                           0.8000E-03
      Ptot (Watt)                      0.4218E+03
      dP/dOmega (Watt/mrad^2)          0.7706E+09
      h*nue (eV)         Brilliance              Flux         K       Ptot    gap
                            photon              photon               (Watt)     (m)
               sec*(mm*mrad)**2*0.1% BW      sec*0.1% BW  

     0.4340E+03          0.8514E+19        0.801852E+15     2.500    394.829  0.016603
     0.4378E+03          0.8538E+19        0.798790E+15     2.485    390.285  0.016667
     0.4416E+03          0.8560E+19        0.795712E+15     2.471    385.821  0.016731
     0.4455E+03          0.8582E+19        0.792616E+15     2.457    381.432  0.016794
     0.4493E+03          0.8603E+19        0.789503E+15     2.443    377.119  0.016857
     0.4531E+03          0.8624E+19        0.786374E+15     2.429    372.878  0.016920
     0.4569E+03          0.8643E+19        0.783228E+15     2.416    368.707  0.016982
     0.4607E+03          0.8661E+19        0.780066E+15     2.402    364.606  0.017044
     0.4645E+03          0.8679E+19        0.776888E+15     2.389    360.572  0.017106
     0.4684E+03          0.8696E+19        0.773695E+15     2.376    356.605  0.017168
     0.4722E+03          0.8712E+19        0.770486E+15     2.363    352.701  0.017229
     0.4760E+03          0.8727E+19        0.767262E+15     2.350    348.859  0.017291
     0.4798E+03          0.8741E+19        0.764022E+15     2.337    345.079  0.017352
     0.4836E+03          0.8755E+19        0.760768E+15     2.324    341.359  0.017412
     0.4874E+03          0.8767E+19        0.757499E+15     2.312    337.697  0.017473
     0.4913E+03          0.8779E+19        0.754216E+15     2.300    334.091  0.017533
     0.4951E+03          0.8790E+19        0.750918E+15     2.287    330.542  0.017593
     0.4989E+03          0.8800E+19        0.747607E+15     2.275    327.046  0.017653
     0.5027E+03          0.8810E+19        0.744282E+15     2.263    323.604  0.017712
     0.5065E+03          0.8818E+19        0.740943E+15     2.251    320.214  0.017772
