,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
90,90,2.25,0.02,550,1,100000.0,,63.21,0.06321,55.0,0.0027196116843435,0.001853119109361,0.000692834887266,1317036198210.0645,949660368002.2434,796446000000.0,2.06310860684042,1.3013023664249714,27113784549883.008,19550629396951.89,16396409816954.64,3.1350488216746995e-05,2.2605541303594e-05,1.8958454575667e-05,1.787785024026e-05,1.2890978897411003e-05,1.0811200430029e-05
91,91,2.25,0.02,555,1,100000.0,,65.34,0.06534,55.5,0.0022590096145177,0.0020655223632821,0.0006942399545765,1359072000000.0,980100000000.0,823284000000.0,2.483864773048214,1.6228421338907828,33755116384928.29,24342632008361.75,20447810887023.867,3.265849514852999e-05,2.3551799385959e-05,1.9783511484204004e-05,1.8642975749637e-05,1.3444453665602e-05,1.1293341079103998e-05
92,92,2.25,0.02,560,1,100000.0,,65.7,0.0657,56.0,0.002395433067702,0.0019660141772789,0.00069862306797,1363862193788.509,985500000000.0,827820000000.0,2.3787403109584124,1.565692833661244,32502119679089.363,23485392504918.66,19727729704131.67,3.3078650656014e-05,2.3901982450988e-05,2.0077665258829e-05,1.8908049540049e-05,1.3662584758623002e-05,1.1476571197243e-05
93,93,2.25,0.02,565,1,100000.0,,64.72999999999999,0.06473,56.5,0.002513625850496,0.0018679452869978,0.0006760271033435,1337999174568.3306,970950000000.0,815598000000.0,2.2856276366391084,1.4811999888950802,30617091959095.29,22217999833426.2,18663119860078.008,3.27459670066e-05,2.3762867174648004e-05,1.9960808426703004e-05,1.8737292971593e-05,1.3597149352977e-05,1.14216054565e-05
94,94,2.25,0.02,570,1,100000.0,,67.84,0.06784,57.0,0.0025875384909534,0.0020488199986493,0.0007010399678392,1396282348268.7915,1017600000000.0,854784000000.0,2.2262554306209204,1.5116609990240055,31112994833484.46,22674914985360.09,19046928587702.48,3.4481165766253e-05,2.5129612450692e-05,2.110887445858e-05,1.9753475940836e-05,1.4396183653197e-05,1.2092794268685e-05
95,95,2.25,0.02,575,1,100000.0,,65.92,0.06592,57.5,0.0025566139440184,0.0018897465130223,0.0006392524787231,1351360000000.0,987246900273.0035,830592000000.0,2.2631636690043964,1.4903532628789444,30552241889018.363,22320185665791.785,18778451112274.69,3.3674503963582e-05,2.4601179298097003e-05,2.0697499997128e-05,1.9283875497304e-05,1.4087990106235002e-05,1.1852528354437002e-05
96,96,2.25,0.02,580,1,100000.0,,68.05,0.06805,58.0,0.0026608703178942,0.0018489148285031,0.0006734611903847,1395025000000.0,1017139856610.5116,857430000000.0,2.2193136352924925,1.512113741287283,30998331696389.3,22601486465712.43,19052633140219.77,3.5068763378082e-05,2.5569317362692e-05,2.1554459442136e-05,2.0081259266719e-05,1.4641636652466998e-05,1.2342627646859e-05
97,97,2.25,0.02,585,1,100000.0,,69.51,0.0695099999999999,58.5,0.0025182616986887,0.0020283036407397,0.0007313504285828,1419156019440.183,1036912484783.7244,875661596370.9225,2.3533534371743547,1.6381187070279668,33444770876655.29,24436566521005.195,20636421263720.05,3.5989576828008e-05,2.629593999803e-05,2.2206642445387e-05,2.0592204109423995e-05,1.5045783013131e-05,1.2706004185759004e-05
98,98,2.25,0.02,590,1,100000.0,,70.26,0.07026,59.0,0.0025595548408602,0.001950302446711,0.0006680766964124,1428252334261.0044,1046874000000.0,883866602291.8779,2.3412236272804856,1.6449802520850014,33439323724077.133,24510205756066.52,20693753291312.37,3.6539283563066e-05,2.6782400436679003e-05,2.2612147474467e-05,2.0891480535602e-05,1.5312943847238e-05,1.2928585149068e-05
99,99,2.25,0.02,595,1,100000.0,,71.16,0.07116,59.5,0.0028047366426881,0.002008767932357,0.0007098400016202,1440251870700.2903,1060284000000.0,893929403217.431,2.1565189103741957,1.5320603308583176,31008329926143.875,22827698929788.934,19246118286358.57,3.7172256658729e-05,2.7365455849037e-05,2.3071918104868e-05,2.1231410959387e-05,1.5630130948356997e-05,1.317782182026e-05
