,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
43,43,2,25,3000,1000000.0,365,17.15,2.43,0.81,,13150.75,1.3150749999999998,365.0,0.0004329846540684,0.0213554251270908,0.00142811844737,-0.0016578909292347,7.636576062442476e-08,30115217500000.0,20515170000000.0,16569944999999.998,4.226196506135095,5.557459360364443,127265819352345.72,86696366021685.3,70023987940591.984,0.0004724391479971,0.0003218362754914,0.0002599446840507,0.0002546138546474,0.0001734487394104,0.0001400932126007
44,44,2,25,3000,1000000.0,370,17.15,2.43,0.81,,13370.5,1.33705,370.0,0.0004377184088894,0.0206435877209788,0.001379242819187,-0.0016178792274235,-1.9106835710867497e-06,30512694248154.027,20838685240646.28,16846830000000.0,4.239135806829346,5.666901143301177,129323826274307.86,88321879671748.81,71402954405594.84,0.0004855936019348,0.0003316367982222,0.000268108505737,0.0002615052514817,0.0001785953603469,0.0001443836614358
45,45,2,25,3000,1000000.0,375,17.15,2.43,0.81,,13704.75,1.370475,375.0,0.0004465547015683,0.0215137388474586,0.0014767594876686,-0.0016554118618189,-6.99623065882188e-07,31246830000000.0,21319216259037.875,17267985000000.0,4.212720643817596,5.772888785628648,131621864312333.2,89803509338143.12,72738398698920.97,0.0005042034584966,0.0003440100186241,0.0002786387533797,0.0002713175649273,0.0001851156690634,0.0001499386543019
46,46,2,25,3000,1000000.0,380,17.15,2.43,0.81,,13881.0,1.3881,380.0,0.0004664586120383,0.0208690134279275,0.0014376409367517,-0.0016397717879038,7.240671760284141e-06,31570892979069.656,21552455728230.727,17490060000000.0,4.086269997208539,5.669613206084736,128949464564527.9,88029743981221.5,71437126396667.69,0.0005163980122404,0.0003525286821736,0.0002860809868112,0.0002777831907566,0.000189633848013,0.0001538899985042
47,47,2,25,3000,1000000.0,385,17.15,2.43,0.81,,14262.5,1.4262500000000002,385.0,0.0004592227052881,0.0202601060075861,0.0013714601666868,-0.0015829821921671,-4.933425936627255e-06,32375875000000.0,22106875000000.0,17970750000000.0,4.2077044423951095,5.999009215589432,136177509193880.08,92984642841636.16,75587516116426.83,0.0005368923546705,0.0003666005064931,0.0002980107343105,0.000288495896563,0.0001969905901641,0.0001601342861979
48,48,2,25,3000,1000000.0,390,17.15,2.43,0.81,,14535.0,1.4535,390.0,0.0004960965908366,0.0217307633369382,0.0014646488837973,-0.0014867083754742,-2.9342595502745056e-06,32946507041951.47,22529250000000.0,18314100000000.0,3.9432642327977674,5.731087957532821,129906659615341.16,88831863341758.73,72211708264913.55,0.0005536565908908,0.0003785975774137,0.0003077631919621,0.0002973699334971,0.0002033454279602,0.0001653001543417
49,49,2,25,3000,1000000.0,395,17.15,2.43,0.81,,14966.0,1.4966000000000002,395.0,0.0004549584680972,0.0215928758369434,0.00140493846331,-0.0016134063320473,-2.546363517695028e-06,33823160000000.0,23197300000000.0,18857160000000.0,4.341182863217034,6.497424870585827,146841802075239.7,100710085494080.31,81867553369381.42,0.0005758253615482,0.0003949244736281,0.0003210353785622,0.0003095303941979,0.0002122885446932,0.0001725700427828
50,50,2,25,3000,1000000.0,400,17.15,2.43,0.81,,15343.0,1.5343,400.0,0.000477888150371,0.0208327871328743,0.0014228821986403,-0.0015565082434232,-4.109327504843972e-07,34659944368432.19,23781650000000.0,19332180000000.0,4.1977853789631965,6.441883997834283,145522610306217.66,99849201966431.38,81167738372711.97,0.0005979181410032,0.000410256860393,0.0003334991252226,0.000321664046778,0.0002207072722547,0.0001794136535748
51,51,2,25,3000,1000000.0,405,17.15,2.43,0.81,,15695.75,1.569575,405.0,0.0004844072657021,0.0197616881995891,0.0014467607479454,-0.0015231710795157,-1.4965103192297838e-06,35317943741749.875,24328412500000.0,19776645000000.0,4.194441389564091,6.582235681732355,148110813119705.6,102024653066851.48,82936169589827.66,0.0006172059843201,0.0004251561725621,0.0003456108241473,0.0003327126205634,0.0002291857628012,0.00018630584589
52,52,2,25,3000,1000000.0,410,17.15,2.43,0.81,,16177.25,1.617725,410.0,0.0004728216683673,0.0196123615698104,0.0014660952333971,-0.0015316789885941,-1.3450993310552251e-06,36398812500000.0,25074737500000.0,20383335000000.0,4.335710304915546,7.013963426572265,157814177097875.94,108716433111870.1,88375939174810.53,0.0006443066043848,0.0004438556607984,0.0003608116984555,0.0003481440875744,0.0002398325936623,0.0001949606890416
