,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
86,86,2036,500000.0,0.01715,0.00243,0.81,1503520000000.0,2.036,70.0,0.0139999999999999,2036.0,0.1910865278963457,0.0588889219102202,0.0195486783492474,-0.0037392564526203,0.0012272404952641,210492800.0,10.654858939633993,0.1491680251548758,2242771091.808589,1.827976507307253e-08,1.1211334221038614e-08
87,87,2037,500000.0,0.01715,0.00243,0.81,1503640000000.0,2.0370000000000004,90.0,0.018,2037.0,0.1934533156424991,0.0598296361466578,0.0184670901005626,-0.0064550949828544,1.7676190303917432e-05,270655200.00000006,10.529672201454368,0.1895340996261786,2849910535.619073,2.3516788581369765e-08,1.4419601543957233e-08
88,88,2038,500000.0,0.01715,0.00243,0.81,1503770000000.0,2.0380000000000003,75.0,0.015,2038.0,0.2119058588970292,0.0616787293667323,0.0210288074069802,-0.0103106624045888,0.0003229288960733,225565500.0,9.617478301958226,0.1442621745293733,2169371301.920358,1.9609327937322463e-08,1.2020607623808281e-08
89,89,2039,500000.0,0.01715,0.00243,0.81,1503890000000.0,2.039,74.0,0.0147999999999999,2039.0,0.172613196006555,0.0667131528729839,0.0190452278014674,-0.0048138024669284,0.0016231951708723,222575720.0,11.812538364231257,0.1748255677906225,2629184231.446393,1.9359598033308026e-08,1.1864472263904026e-08
90,90,2040,500000.0,0.01715,0.00243,0.81,1504020000000.0,2.04,83.0,0.0166,2040.0,0.1780715275141114,0.0613299043836969,0.0176187314609473,-0.0046726675771776,0.0007201656281333,249667320.0,11.45607065025226,0.1901707727941875,2860206456.97914,2.1727456212405783e-08,1.3312182481284793e-08
91,91,2041,500000.0,0.01715,0.00243,0.81,1504140000000.0,2.0410000000000004,78.0,0.0156,2041.0,0.1444470363235619,0.055257253253334,0.0182403049195562,-0.0080312481379415,-0.0016338701732825,234645840.0,14.129746458959204,0.2204240447597635,3315486226.849508,2.0430779343288605e-08,1.25144981951923e-08
92,92,2042,500000.0,0.01715,0.00243,0.81,1504260000000.0,2.0420000000000003,74.0,0.0147999999999999,2042.0,0.2066397464933296,0.0701132271367001,0.0209063383877867,-0.0098218937249796,0.0012544883708389,222630480.0,9.881932370962891,0.1462525990902508,2200019347.0750065,1.93946391563276e-08,1.1876767400869777e-08
93,93,2043,500000.0,0.01715,0.00243,0.81,1504390000000.0,2.043,104.0,0.0208,2043.0,0.0566753798227637,0.0356088305767697,0.0047312051325125,-0.006920028546589,0.000191174245173,312913120.0,36.0473984715922,0.7497858882091177,11279703923.629148,2.727382047725992e-08,1.6697462561685708e-08
94,94,2044,500000.0,0.01715,0.00243,0.81,1504510000000.0,2.044,91.0,0.0182,2044.0,0.1881080160431459,0.0610715860077936,0.019835667444656,-0.0123241123152067,1.0115615067081663e-05,273820820.0,10.866097272171393,0.1977629703535193,2975363665.2657337,2.3878877722154786e-08,1.4615251013061989e-08
95,95,2045,500000.0,0.01715,0.00243,0.81,1504630000000.0,2.045,88.0,0.0176,2045.0,0.1655930182845124,0.0751352790821562,0.0179050416773897,-0.0037478231241218,-3.047355978168061e-05,264814880.00000003,12.349554475095063,0.2173521587616731,3270345786.375763,2.3105490189875162e-08,1.413823943962756e-08
96,96,2046,500000.0,0.01715,0.00243,0.81,1504750000000.0,2.0460000000000003,85.0,0.017,2046.0,0.1787875546368209,0.0709682247044969,0.0203155033973541,-0.0056652914304057,-0.0003700691300243,255807500.00000003,11.443749561629891,0.1945437425477081,2927396965.986639,2.2331173697223923e-08,1.3660902340762768e-08
97,97,2047,500000.0,0.01715,0.00243,0.81,1504880000000.0,2.047,70.0,0.0139999999999999,2047.0,0.2067733058352252,0.0622817181457033,0.0191960105630043,-0.0042334085995849,0.0006961580614121,210683200.0,9.899730488572958,0.1385962268400214,2085706898.4701133,1.8401523202591383e-08,1.1254059690266998e-08
98,98,2048,500000.0,0.01715,0.00243,0.81,1505000000000.0,2.048,104.0,0.0208,2048.0,0.0826218031884309,0.0330818349125265,0.0113999042169629,-0.0112302027602043,0.0007004111160647,313040000.0,24.787645887239243,0.5155830344545762,7759524668.541372,2.7355799433474132e-08,1.6726010592142665e-08
99,99,2049,500000.0,0.01715,0.00243,0.81,1505120000000.0,2.049,84.0,0.0168,2049.0,0.2536496390778027,0.070112153194791,0.0193470100748692,-0.0106425306759408,-0.0008276021778306,252860160.0,8.078071813741095,0.1357116064708504,2042622531.3140635,2.2108323476977483e-08,1.351407095764603e-08
100,100,2050,500000.0,0.01715,0.00243,0.81,1505250000000.0,2.05,78.0,0.0156,2050.0,0.2100145015015257,0.0547335278090229,0.0202710986193999,-0.0082710813388419,-0.0007413394592744,234819000.0,9.76123070237179,0.1522751989569999,2292122432.300241,2.0541614729869288e-08,1.2553138030578425e-08
101,101,2051,500000.0,0.01715,0.00243,0.81,1505370000000.0,2.051,99.0,0.0197999999999999,2051.0,0.1700833627957226,0.0663376037745878,0.018458214796578,-0.0075167818608453,0.000919229248212,298063260.0,12.05879261961288,0.2387640938683349,3594283039.865754,2.6087571372740522e-08,1.5938137858090844e-08
